slug,path,target_price,max_time,max_trades_per_window,trade_index,side,entry_elapsed,entry_price,tp_price,exit_elapsed,exit_price,exit_reason,winner,pnl,volume_ratio,btc_return
btc-updown-15m-1775465100,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_114502_btc-updown-15m-1775465100_prices.csv,0.12,600,2,1,DOWN,62,0.68,0.8,195,0.8,tp,DOWN,0.72,11.4989,-0.000262
btc-updown-15m-1775465100,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_114502_btc-updown-15m-1775465100_prices.csv,0.12,600,2,2,DOWN,96,0.61,0.73,185,0.73,tp,DOWN,0.72,3.3621,-0.000178
btc-updown-15m-1775466000,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_120002_btc-updown-15m-1775466000_prices.csv,0.12,600,2,1,DOWN,61,0.51,0.63,899,0.0,settle,UP,-3.06,15.9235,-8e-05
btc-updown-15m-1775466000,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_120002_btc-updown-15m-1775466000_prices.csv,0.12,600,2,2,DOWN,62,0.51,0.63,899,0.0,settle,UP,-3.06,5.1139,-8.2e-05
btc-updown-15m-1775466900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_121502_btc-updown-15m-1775466900_prices.csv,0.12,600,2,1,UP,63,0.57,0.69,73,0.69,tp,UP,0.72,7.9286,0.001192
btc-updown-15m-1775466900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_121502_btc-updown-15m-1775466900_prices.csv,0.12,600,2,2,UP,67,0.61,0.73,73,0.73,tp,UP,0.72,12.9543,0.001618
btc-updown-15m-1775467800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_123002_btc-updown-15m-1775467800_prices.csv,0.12,600,2,1,UP,61,0.47,0.59,899,0.0,settle,DOWN,-2.82,5.3481,0.000132
btc-updown-15m-1775467800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_123002_btc-updown-15m-1775467800_prices.csv,0.12,600,2,2,UP,62,0.48,0.6,899,0.0,settle,DOWN,-2.88,3.9554,0.000197
btc-updown-15m-1775468700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_124502_btc-updown-15m-1775468700_prices.csv,0.12,600,2,1,DOWN,64,0.48,0.6,312,0.6,tp,DOWN,0.72,6.6979,-2.5e-05
btc-updown-15m-1775468700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_124502_btc-updown-15m-1775468700_prices.csv,0.12,600,2,2,DOWN,67,0.49,0.61,313,0.61,tp,DOWN,0.72,3.2487,-0.000165
btc-updown-15m-1775469600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_130001_btc-updown-15m-1775469600_prices.csv,0.12,600,2,1,UP,60,0.51,0.63,100,0.63,tp,UP,0.72,4.3584,5.2e-05
btc-updown-15m-1775469600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_130001_btc-updown-15m-1775469600_prices.csv,0.12,600,2,2,UP,68,0.6,0.72,131,0.72,tp,UP,0.72,4.936,0.000333
btc-updown-15m-1775470500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_131503_btc-updown-15m-1775470500_prices.csv,0.12,600,2,1,UP,61,0.47,0.59,482,0.59,tp,DOWN,0.72,3.3794,9e-06
btc-updown-15m-1775470500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_131503_btc-updown-15m-1775470500_prices.csv,0.12,600,2,2,DOWN,62,0.54,0.66,100,0.66,tp,DOWN,0.72,5.817,-0.000217
btc-updown-15m-1775472300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_134501_btc-updown-15m-1775472300_prices.csv,0.12,600,2,1,DOWN,65,0.58,0.7,81,0.7,tp,DOWN,0.72,3.844,-0.000259
btc-updown-15m-1775472300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_134501_btc-updown-15m-1775472300_prices.csv,0.12,600,2,2,DOWN,78,0.58,0.7,81,0.7,tp,DOWN,0.72,133.4694,-0.00111
btc-updown-15m-1775473200,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_140001_btc-updown-15m-1775473200_prices.csv,0.12,600,2,1,DOWN,79,0.61,0.73,202,0.73,tp,DOWN,0.72,4.0933,-0.000611
btc-updown-15m-1775473200,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_140001_btc-updown-15m-1775473200_prices.csv,0.12,600,2,2,DOWN,82,0.62,0.74,202,0.74,tp,DOWN,0.72,9.027,-0.000611
btc-updown-15m-1775474100,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_141501_btc-updown-15m-1775474100_prices.csv,0.12,600,2,1,UP,70,0.54,0.66,108,0.66,tp,DOWN,0.72,2.9722,1.5e-05
btc-updown-15m-1775474100,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_141501_btc-updown-15m-1775474100_prices.csv,0.12,600,2,2,UP,71,0.54,0.66,108,0.66,tp,DOWN,0.72,3.1372,0.000178
btc-updown-15m-1775475000,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_143001_btc-updown-15m-1775475000_prices.csv,0.12,600,2,1,DOWN,70,0.57,0.69,899,0.0,settle,UP,-3.42,13.2883,-0.000447
btc-updown-15m-1775475000,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_143001_btc-updown-15m-1775475000_prices.csv,0.12,600,2,2,DOWN,71,0.5,0.62,899,0.0,settle,UP,-3.0,19.4193,-0.000238
btc-updown-15m-1775475900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_144501_btc-updown-15m-1775475900_prices.csv,0.12,600,2,1,UP,62,0.55,0.67,351,0.67,tp,DOWN,0.72,18.7553,0.00044
btc-updown-15m-1775475900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_144501_btc-updown-15m-1775475900_prices.csv,0.12,600,2,2,UP,73,0.63,0.75,361,0.75,tp,DOWN,0.72,2.7744,0.000556
btc-updown-15m-1775476800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_150000_btc-updown-15m-1775476800_prices.csv,0.12,600,2,1,DOWN,61,0.51,0.63,162,0.63,tp,DOWN,0.72,4.4313,-7e-05
btc-updown-15m-1775476800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_150000_btc-updown-15m-1775476800_prices.csv,0.12,600,2,2,DOWN,64,0.55,0.67,302,0.67,tp,DOWN,0.72,46.4719,-0.000112
btc-updown-15m-1775477700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_151501_btc-updown-15m-1775477700_prices.csv,0.12,600,2,1,UP,71,0.56,0.68,283,0.68,tp,DOWN,0.72,7.3786,0.000204
btc-updown-15m-1775477700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_151501_btc-updown-15m-1775477700_prices.csv,0.12,600,2,2,UP,82,0.54,0.66,278,0.66,tp,DOWN,0.72,2.6792,0.000168
btc-updown-15m-1775478600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_153002_btc-updown-15m-1775478600_prices.csv,0.12,600,2,1,DOWN,85,0.7,0.82,899,0.0,settle,UP,-4.2,6.4014,-0.000993
btc-updown-15m-1775478600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_153002_btc-updown-15m-1775478600_prices.csv,0.12,600,2,2,DOWN,96,0.61,0.73,899,0.0,settle,UP,-3.66,6.0669,-0.000843
btc-updown-15m-1775479500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_154502_btc-updown-15m-1775479500_prices.csv,0.12,600,2,1,UP,60,0.6,0.72,899,0.0,settle,DOWN,-3.6,4.0892,0.000449
btc-updown-15m-1775479500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_154502_btc-updown-15m-1775479500_prices.csv,0.12,600,2,2,UP,85,0.65,0.77,899,0.0,settle,DOWN,-3.9,2.6896,0.000546
btc-updown-15m-1775480400,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_160000_btc-updown-15m-1775480400_prices.csv,0.12,600,2,1,UP,74,0.56,0.68,207,0.68,tp,UP,0.72,3.7131,6e-06
btc-updown-15m-1775480400,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_160000_btc-updown-15m-1775480400_prices.csv,0.12,600,2,2,UP,77,0.56,0.68,207,0.68,tp,UP,0.72,13.7429,6e-06
btc-updown-15m-1775481300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_161502_btc-updown-15m-1775481300_prices.csv,0.12,600,2,1,DOWN,60,0.51,0.63,133,0.63,tp,UP,0.72,31.9935,-4.6e-05
btc-updown-15m-1775481300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_161502_btc-updown-15m-1775481300_prices.csv,0.12,600,2,2,UP,68,0.46,0.58,587,0.58,tp,UP,0.72,9.6441,3e-05
btc-updown-15m-1775482200,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_163002_btc-updown-15m-1775482200_prices.csv,0.12,600,2,1,UP,67,0.55,0.67,899,0.0,settle,DOWN,-3.3,3.9152,0.000477
btc-updown-15m-1775482200,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_163002_btc-updown-15m-1775482200_prices.csv,0.12,600,2,2,UP,70,0.63,0.75,899,0.0,settle,DOWN,-3.78,2.5629,0.000827
btc-updown-15m-1775483100,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_164502_btc-updown-15m-1775483100_prices.csv,0.12,600,2,1,DOWN,65,0.52,0.64,899,0.0,settle,UP,-3.12,2.6015,-0.000377
btc-updown-15m-1775483100,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_164502_btc-updown-15m-1775483100_prices.csv,0.12,600,2,2,DOWN,76,0.52,0.64,899,0.0,settle,UP,-3.12,8.5086,-0.000238
btc-updown-15m-1775484000,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_170003_btc-updown-15m-1775484000_prices.csv,0.12,600,2,1,UP,87,0.51,0.63,899,0.0,settle,DOWN,-3.06,3.9217,0.00061
btc-updown-15m-1775484000,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_170003_btc-updown-15m-1775484000_prices.csv,0.12,600,2,2,UP,96,0.47,0.59,899,0.0,settle,DOWN,-2.82,5.4544,6.2e-05
btc-updown-15m-1775484900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_171502_btc-updown-15m-1775484900_prices.csv,0.12,600,2,1,UP,62,0.61,0.73,267,0.73,tp,UP,0.72,2.8188,0.000858
btc-updown-15m-1775484900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_171502_btc-updown-15m-1775484900_prices.csv,0.12,600,2,2,UP,90,0.56,0.68,263,0.68,tp,UP,0.72,73.6639,0.000355
btc-updown-15m-1775485800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_173002_btc-updown-15m-1775485800_prices.csv,0.12,600,2,1,UP,76,0.63,0.75,134,0.75,tp,DOWN,0.72,2.6743,0.000883
btc-updown-15m-1775485800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_173002_btc-updown-15m-1775485800_prices.csv,0.12,600,2,2,UP,78,0.64,0.76,136,0.76,tp,DOWN,0.72,5.8676,0.000883
btc-updown-15m-1775486700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_174502_btc-updown-15m-1775486700_prices.csv,0.12,600,2,1,DOWN,61,0.58,0.7,170,0.7,tp,UP,0.72,6.7662,-0.000291
btc-updown-15m-1775486700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_174502_btc-updown-15m-1775486700_prices.csv,0.12,600,2,2,DOWN,71,0.57,0.69,170,0.69,tp,UP,0.72,3.5923,-0.000372
btc-updown-15m-1775487600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_180002_btc-updown-15m-1775487600_prices.csv,0.12,600,2,1,DOWN,99,0.58,0.7,382,0.7,tp,UP,0.72,18.4625,-0.000454
btc-updown-15m-1775487600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_180002_btc-updown-15m-1775487600_prices.csv,0.12,600,2,2,DOWN,101,0.58,0.7,382,0.7,tp,UP,0.72,5.1161,-0.000567
btc-updown-15m-1775488500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_181501_btc-updown-15m-1775488500_prices.csv,0.12,600,2,1,DOWN,84,0.57,0.69,297,0.69,tp,UP,0.72,5.3392,-0.000312
btc-updown-15m-1775488500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_181501_btc-updown-15m-1775488500_prices.csv,0.12,600,2,2,DOWN,88,0.55,0.67,121,0.67,tp,UP,0.72,2.6963,-0.000312
btc-updown-15m-1775489400,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_183002_btc-updown-15m-1775489400_prices.csv,0.12,600,2,1,DOWN,93,0.55,0.67,151,0.67,tp,UP,0.72,4.4931,-0.000113
btc-updown-15m-1775489400,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_183002_btc-updown-15m-1775489400_prices.csv,0.12,600,2,2,DOWN,94,0.55,0.67,151,0.67,tp,UP,0.72,2.5479,-0.000248
btc-updown-15m-1775490300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_184502_btc-updown-15m-1775490300_prices.csv,0.12,600,2,1,DOWN,75,0.61,0.73,899,0.0,settle,UP,-3.66,4.3953,-0.000155
btc-updown-15m-1775490300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_184502_btc-updown-15m-1775490300_prices.csv,0.12,600,2,2,DOWN,77,0.61,0.73,899,0.0,settle,UP,-3.66,5.6033,-0.000273
btc-updown-15m-1775491200,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_190003_btc-updown-15m-1775491200_prices.csv,0.12,600,2,1,DOWN,60,0.63,0.75,331,0.75,tp,UP,0.72,3.109,-0.000433
btc-updown-15m-1775491200,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_190003_btc-updown-15m-1775491200_prices.csv,0.12,600,2,2,DOWN,62,0.64,0.76,335,0.76,tp,UP,0.72,9.6261,-0.000561
btc-updown-15m-1775492100,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_191502_btc-updown-15m-1775492100_prices.csv,0.12,600,2,1,DOWN,63,0.68,0.8,158,0.8,tp,DOWN,0.72,9.2688,-0.000651
btc-updown-15m-1775492100,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_191502_btc-updown-15m-1775492100_prices.csv,0.12,600,2,2,DOWN,68,0.69,0.81,161,0.81,tp,DOWN,0.72,5.4273,-0.000691
btc-updown-15m-1775495700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_200708_btc-updown-15m-1775495700_prices.csv,0.12,600,2,1,DOWN,62,0.56,0.68,899,0.0,settle,UP,-3.36,6.1872,-0.000713
btc-updown-15m-1775495700,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_200708_btc-updown-15m-1775495700_prices.csv,0.12,600,2,2,DOWN,63,0.55,0.67,899,0.0,settle,UP,-3.3,14.3141,-0.000656
btc-updown-15m-1775496600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_203002_btc-updown-15m-1775496600_prices.csv,0.12,600,2,1,UP,66,0.55,0.67,387,0.67,tp,DOWN,0.72,5.1042,0.00051
btc-updown-15m-1775496600,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_203002_btc-updown-15m-1775496600_prices.csv,0.12,600,2,2,UP,76,0.55,0.67,387,0.67,tp,DOWN,0.72,4.0283,0.000417
btc-updown-15m-1775497500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_204501_btc-updown-15m-1775497500_prices.csv,0.12,600,2,1,DOWN,62,0.51,0.63,899,0.0,settle,UP,-3.06,5.2019,-0.000153
btc-updown-15m-1775497500,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_204501_btc-updown-15m-1775497500_prices.csv,0.12,600,2,2,DOWN,63,0.5,0.62,116,0.62,tp,UP,0.72,4.5603,-0.000109
